fsd_no;fsd_vr;fsd_id;tb_paino;Syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi2;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;K2;K3;K5_9;K41a;K41A_1;K41B;K41B_1;K41C;K41C_1;K21C_1;K21C_4;K21C_5;K21C_6;K26_1;K26_2;K26_3;K20B_1;K20B_2;K20B_3;K20B_5;K20B_6;K20B_7;K32A;K33_1;K33_2;K33_3;K33_4;K33_5;K33_7;K33_6;K33_8;K9A_07;K9A_07c;K9A_07B;K9A_09b;K9A_10b;K13_1;K13_2;K22_6;K22_8;K22_10;K20a_02;K20a_09;K21B_1;K21B_2;K51A;K51B;K51C;K51D;K51E;K51F;K51G;K51H;K51I;K51J;K51K;K51K_muu;K52a;K52b;K52c;K21B_30;K53;K21B_4;K46a;K46b;K47;K47_1;K47_2;K47_4;K47_5;K47_6;K47_7;K48;K50;K11A_1;K11A_2;K11A_3;K11A_4;K42E;K42A;K43A;K43E;K43G;K21C_8;K21C_9;K28A;K28B;K32;K22_1;K22_2;K22_3;K23;K24;K25_1;K25_4;K25_6;K25_7;K25_8;K25_9;K54a;K54b;K54c;K40
3482;1;1;1,3978198980258;1995;23;2;1;3;1;2;3;3; ;2; ; ; ;2; ; ; ; ; ; ;0;0; ; ; ;2;1;2;3; ;3; ;1;3;4;1;1;3;4;4;9;1;1;1;1;5;5;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;2;1;1;1;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;2;2;3;2;2;2;2; ; ; ; ; ; ;1;3;3;1;4;3;1;4;4;4;5;4;4;1;1;0;4;2;4;1;6;9;9;9;9;9;8;4;5;4;2
3482;1;2;1,19467157067184;1986;32;4;1;1;1;3;8;3; ;1;1;1;10;2;2;50;2;2;0;0;0;0;2; ; ;4;2;1;1;3;2; ;1;3;2;4;3;1;4;2;2;3;2;1;1;1;3;1;1;3;2;2;1;1;2;3;2;3;2;1;1;1; ;1;1;2;2;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;1;2;2; ; ; ; ; ; ;2;3;3;4;3;4;1;1;5;4;5;3;1;2;1;5;4;4;4;1;2;3;3;3;3;4;7;2;2;4;2
3482;1;3;,81026848353523;1977;41;6;1;1;1;1;2;3; ;2;1;1;4;2;2;50;2;2;0;0;0;0;2; ; ;7;1;1;1;3;1;3;1;2;2;1;1;2;2;2;3;1;1;2;2;3;3;1;2;2;2;2;2;2;2;2;1;1;2;1;1;2;1;2; ;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;2;1;1;1;1;2; ; ; ; ; ; ;1;2;1;1;1;1;1;2;2;2;2;4;2;1;2;2;4;3;4;1;2;3;2;3;2;2;9;1;1;2;1
3482;1;4;,798413512023438;1957;61;10;1;1;1;1;2;3; ;2;1;1;25;2;2;44;2;2;0;0;0;0;2; ; ;7;3;2;2; ;1;2;2; ;2;2;1;1;2;1;2;2;2;2;2;3;2;1;2;2;2;2;2;2;2;2;1;1;2;3;1;1; ;2; ;1;1;3;1;6;2;2;2;2;1;2;1;2;1;2;2; ;2;1;2;2;2;1;1;2;1;1;1;1;2;2;1;2;3;3;3;3;3;2;2;4;1;2;3;2;1;2;2;4;4;4;3;4;3;4;4;4;4;8;1;2;3;1
3482;1;5;1,20483736892038;1992;26;3;1;1;1;1;2;3; ;2;1;1;2;2;2;38;2;2;0;0;0;0;2; ; ;5;1;3;1;2;1;2;2; ;2;1;1;1;1;2;2;1;2;2;3;4;2;1;2;2;2;2;3;3;2;3;1;1;1;1;1;2;2;1;3;2;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1;1;1;2;1;2;1;2;2;1;3;3;3;3;1;2;3;2;4;5;4;3;1;1;3;4;4;2;1;3;2;3;2;1;1;8;2;2;1;2
3482;1;6;1,11393901371711;1993;25;3;1;1;1;1;2;3; ;2;2;1;0;2;2;40;2;2;0;0;0;0;2; ; ;5;2;1;1;3;1;2;3; ;2;1;1;2;2;1;2;1;1;1;1;3;2;1;2;2;2;2;2;2;2;2;1;1;9;1;1;1; ;1;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;2;2;1;1;1;2; ; ; ; ; ; ;1;3;2;2;2;1;1;1;2;5;5;4;3;1;1;1;4;4;4;1;3;1;3;2;1;1;9;1;1;1;2
3482;1;7;1,20483736892038;1992;26;3;1;1;1;1;2;3; ;1;2;2;0;2;2;15;2;2;0;0;0;0;2; ; ;9;2;2;2; ;2; ;2; ;4;1;1;2;2;2;1;1;1;1;1;4;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;2;1;2; ; ; ; ; ; ;1;3;1;3;3;3;2;3;3;5;5;4;2;1;1;1;4;4;2;2;3;2;2;2;2;3;7;2;4;2;2
3482;1;8;,826625489530675;1972;46;7;1;1;1;1;2;3; ;2;1;1;7;2;2;38;2;2;0;0;0;0;2; ; ;10;1;3;1;3;2; ;1;2;3;3;2;3;2;2;2;2;2;1;1;2;3;1;2;1;2;2;2;2;2;3;2;2;1;1;1;2;1;1;1;1;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;1;2;1;2;1;1;1;2;1;1;2;2;2;1;3;2;1;2;3;1;4;3;3;5;4;2;1;2;5;4;3;3;2;3;3;3;3;3;3;8;1;2;1;2
3482;1;9;1,23388559547971;1986;32;4;1;1;1;2;5;3; ;2;1;2;2;2;1;37;2;2;0;0;0;0;2; ; ;3;3;2;1;1;2; ;2; ;2;2;2;1;1;1;2;2;2;5;2;4;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2; ;9;1;2;1;1;2;2;2;2;1;2;1;2;2;1;2; ;1;1;2;2;2;1;2;2;2; ; ; ; ; ; ;1;3;3;4;3;4;2;1;5;4;5;2;2;2;2;2;4;4;3;1;3;3;4;2;2;3;9;1;1;3;1
3482;1;10;,800102685286684;1982;36;5;1;1;1;3;8;3; ;2;1;1;7;2;1;45;2;2;0;0;0;0;2; ; ;5;2;2;2; ;2; ;1;2;5;2;2;1;4;2;2;2;2;3;3;5;1;1;2;2;2;2;2;2;2;2;1;1;2;1;1;2;1;2; ;1;2;1;1;3;2;2;2;2;2;2;2;2;1;1;2; ;2;2;2;2;2;4;3;3;2; ; ; ; ; ; ;1;3;3;1;3;4;2;2;5;1;5;2;2;1;1;0;4;4;4;1;3;3;3;3;3;2;8;1;2;5;2
