fsd_no;fsd_vr;fsd_id;Syvu;ika;ika5;sukup;tyvo;lammas;sose;lisco_1;ltytyy;toimi;tysuhpy;taikao;tsuhaika;vuokraty;vuoro;saanai;ylipa;ylipato;ylitunn;ylipatot;ylitu;pylitu;sivutyo;sivutunn;svuokra;K2;K3;K5_9;K41a;K41A_1;K41B;K41B_1;K41C;K41C_1;K21C_1;K21C_4;K21C_5;K21C_6;K26_1;K26_2;K26_3;K20B_1;K20B_2;K20B_3;K20B_5;K20B_7;K32A;K33_1;K33_2;K33_3;K33_4;K33_5;K33_7;K33_6;K33_8;K9A_07;K9A_07c;K9A_07B;K9A_09b;K9A_10b;K13_1;K13_2;K22_6;K22_8;K22_10;K20a_02;K20a_09;K21B_1;K21B_2;K52a;K52b;K52c;K53;K21B_4;K46a;K46b;K47;K48;K11A_1;K11A_2;K11A_3;K11A_4;K42E;K42A;K43A;K58a;K58b;K59;K43E;K43G;K21C_8;K21C_9;K28A;K28B;K32;K55;K56a;K56b;K56c;K56d;K60a;K60b;K61;K22_1;K22_2;K23;K24;K25_1;K25_4;K25_6;K25_7;K25_8;K40;tb_paino
3645;1,0;1;1993;27;3;1;1;1;3;7;3;2;1;1;5;2;2;42;2;2;0;0;0;0;2; ; ;6;2;1;2; ;2; ;1;3;2;2;3;1;3;1;2;2;2;3;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2; ;1;1;1;1;12;2;1;1;1;2;1;2;2;1;2;3;3;4;2;3;3; ;2; ;4;3;3;3;2;2;4;2;2;2;2;1;2;2;3;4;4;1;3;3;3;3;3;2;2;1
3645;1,0;2;1992;28;3;1;1;1;1;2;3;2;1;1;1;2;2;40;2;2;0;0;0;0;2; ; ;9;2;2;2; ;1;3;1;3;3;3;1;2;2;1;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;1;1;1;1;2;2; ;2;1;1;1;3;1;2;2;1;3;3;4;1;1;3;5;1; ;1;5;5;4;4;1;1;2;2;2;2;3;1;2;2;3;4;4;1;4;2;3;3;3;4;2;1
3645;1,0;3;1957;63;10;1;1;1;1;2;3;2;1;2;18;2;2;24;2;2;0;0;0;0;2;0; ;1;2;1;2; ;2; ;2; ;4;1;1;2;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2; ;2;1;1;1;1;1;1; ;1;1;1;1;2;1;2;2;1;1;1;1;1;1;2;1;2;1;3;2;1;3;4; ;2; ;4;5;4;3;1;1;0;2;2;2;2;1;2;2;3;4;4;2;4;3;3;2;2;3;1;1
3645;1,0;4;1970;50;7;1;1;1;2;3;3;1;1;1;18;2;2;38;2;2;0;0;0;0;2; ; ;11;3;1;1;3;1;3;1;3;2;2;2;3;3;2;2;2;1;3;2;3;1;2;2;2;2;2;2;2;3;1;1;1;1;1;1; ;1;1;1;1;2;1;5;2;1;1;1;2;1;2;2;1;3;2;3;1;1;1;2; ;1;1;1;2;4;2;1;2;1;3;3;2;3;2;2;2;3;3;3;1;3;3;2;2;2;2;2;1
3645;1,0;5;1993;27;3;1;1;1;1;2;3;2;1;1;0;2;2;38;2;2;0;0;0;0;2; ; ;2;1;2;2; ;2; ;1;2;4;1;1;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;1;1;1;1;2;2;2; ;1;1;1;1;2;1;1;2;1;3;2;3;1;2;3;5;1; ;2;5;5;4;2;2;2;2;2;3;3;3;1;2;2;3;2;4;2;2;3;3;2;3;3;2;1
3645;1,0;6;1987;33;4;1;1;1;1;2;3;2;1;1;0;2;2;40;2;2;0;0;0;0;2; ; ;6;1;2;1;3;1;1;1;2;2;2;2;2;3;2;2;2;2;1;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;1;2;1;2;2;1;1;1;2;1;1;2;1;3;4;3;2;1;2;4; ;1;2;3;4;4;2;1;2;0;3;4;3;3;2;1;2;3;3;3;2;4;2;3;3;3;3;2;1
3645;1,0;7;1966;54;8;1;1;1;3;9;3;2;1;1;22;2;1;38;2;2;0;0;0;0;2; ; ;99;2;1;1;2;2; ;1;3;2;1;1;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;2; ;1;2;2;2; ;2;1;2;1;2;1;2;2;1;2;1;2;2;2;1;5;2; ; ;4;5;3;3;1;1;5;1;2;1;1;1;2;2;3;4;4;2;4;3;3;3;3;3;2;1
3645;1,0;8;2001;19;1;1;1;1;3;9;3;2;2;2;0;1;1;15;2;2;0;0;0;0;2; ; ;6;1;1;2; ;2; ;2; ;2;2;1;2;2;1;2;5;3;2;3;2;2;2;2;2;2;2;2; ;2;2;1;1;1;1;2;2;2; ;1;1;1;1;5;1;1;2;1;2;2;2;2;2;4;1;4;4;2;1;5;2; ; ;4;5;1;3;1;1;0;2;2;2;1;1;2;2;4;4;4;2;4;3;2;2;3;3;2;2
3645;1,0;9;1990;30;4;1;1;1;3;7;3;1;1;1;5;2;2;38;2;2;0;0;0;0;2; ; ;3;1;1;1;2;2; ;1;3;2;2;1;1;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1; ;2; ;1;2;1;1;3;1;1;1;2;1;1;2;2;1;3;3;1;4;1;1;5;2; ; ;4;5;4;4;1;1;4;1;2;2;2;2;2;2;3;4;4;1;3;3;3;3;1;2;2;1
3645;1,0;10;1962;58;9;1;1;1;2;3;3;2;1;1;1;2;2;40;2;2;0;0;0;0;2; ; ;4;1;2;1;2;1;2;1;2;2;1;1;1;1;3;3;2;3;3;3;2;2;2;2;2;2;2;2; ;2;1;1;1;1;1;2;1;1;1;1;1;3;1;3;2;1;1;1;2;1;1;1;1;3;4;3;1;2;2;3; ;1;2;4;3;4;1;3;2;0;2;2;3;4;2;2;2;1;4;4;2;4;2;2;2;2;1;1;1
