fsd_no;fsd_vr;fsd_id;Syvu;ika;ika5;ika10;sukup;lisco2010_1;ltytyy_2012;toimi;palkansa;tysuhpy;taikao;tsuhaika;vuokraty;svuokra;sivutyo;sivutuni;vastaustapa;K2;K3;K62;K13_1;K13_2;K21c_4;K21c_5;K21c_10;K21c_11;K21c_12;K26_1;K26_2;K26_3;K20b_2;K20b_2a;K20b_5;K21b_1;K21b_2;K52c;K52a;K52b;K53;K63;K22_6;K22_8;K64;K42a;K43g;K43a;K43a_1;K43a_2;K43a_3;K20a_02;K20a_02a;K20a_09;K11a_1;K11a_2;K11a_3;K11a_4;K21b_4;K65;K47;K48;K66;K67;K67a;K67b_1;K67b_2;K67b_3;K67b_4;K67b_5;K67b_6;K67b_7;k67b_8;k67b_9;K9a_07;K9a_07c;K9a_07b;K9a_11;K9a_09b;K9a_10b;K21c_8;K21c_9;K28a;K28b;K32;K55;K56a;K56b;K56c;K56d;K57a;K57b;K57c;K57d;K69;K22_1;K22_2;K23;K68_1;K68_2;K68_3;K68_4;K68_5;K68_6;K68_7;K68_8;K40;tb_paino
3727;1,0;1;1960;60;10;5;1;2;3;1;3;1;1;32;2; ;2; ;2;11;2;5;2;1;1;2;1;2;1;2;1;1;1;2;1;1;3;1;2;1;1;2;1;1;2;1;2;1;2;3;1;1;1;3;1;3;3;1;3;1;1;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;4;1;2;2;2;3;3;3;4;2;4;3;3;4;1;3;4;3;1;0;1;0;0;1;0;0;2;,5532230567436
3727;1,0;2;1967;53;8;4;1;2;3;2;3;1;1;6;2; ;2; ;2;5;2;1;1; ;2;2;2;3;2;3;3;3;2;3;3;1;2;1;2;1;2;1;1;1;1;2;3;4;2;1;2;1;2;2;2;3;2;2;3;1;2;1;1;2; ;0;0;0;0;0;0;0;0;0;2;1;1;1;1;1;4;3;1;2;2;1;2;2;2;1;4;4;4;4;1;3;3;1;1;0;0;1;0;0;0;0;1;,8276714710364
3727;1,0;3;1961;60;10;5;1;1;3;2;3;1;1;6;2; ;2; ;1;1;2;1;1; ;1;1;1;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;2; ;2;2;3;3;2;2;2;2; ;2;2;2;2;2;2;1;1;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;2;2;2;0;2;3;2;2;2;4;4;4;3;2;3;3;2;1;0;0;0;0;0;1;0;1;,6727735511892
3727;1,0;4;1984;36;5;3;1;2;3;2;3;2;1;2;2; ;2; ;1;2;2;5;1; ;2;2;2;3;2;2;1;3;2;2;2;1;1;2;2;2;1;1;2; ;1;3;5;1;1;1;1;2; ;2;3;2;3;2;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;3;1;1;9;2;1;2;2;1;3;4;3;2;2;3;3;1;1;1;1;0;0;0;0;0;2;,8119997295835
3727;1,0;5;1977;44;6;3;1;7;3;2;1;1;1;3;2; ;2; ;1;1;2;3;3;4;3;3;3;3;3;2;3;4;4;4;4;2; ;2;2;2;2;2;2; ;3;5;5;4;4;4;4;2; ;3;4;4;4;3;4;2; ; ; ;3; ;0;0;0;0;0;0;0;0;0;4;4;4;5;3;3;4;4;5;5;2;5;5;5;5;5;5;5;5;5;4;4;4;4;0;0;0;0;1;0;0;0;2;1,1044118897549
3727;1,0;6;1986;34;4;2;1;2;3;1;3;1;1;7;2; ;2; ;1;10;3;5;1; ;1;1;1;3;1;3;1;2;2;3;3;2; ;1;1;1;1;2;1;1;1;3;4;1;1;2;2;1;2;3;3;1;3;1;3;1;2;1;3;2; ;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;4;1;1;2;0;2;2;3;2;1;4;3;3;3;3;2;3;1;1;1;0;0;1;0;1;1;2;,9596407439150
3727;1,0;7;1968;53;8;4;1;5;2;4;2;1;1;3;2; ;2; ;2;5;2;2;2;1;2;3;3;3;2;3;3;3;2;2;3;2; ;1;2;1;1;2;2; ;3;1;2;5; ; ; ;2; ;4;4;3;3;3;3;1;2;1;3;2; ;0;0;0;0;0;0;0;0;0;1;2;2;1;3;2;2;1;2;3;21;3;4;4;3;2;2;2;4;3;2;4;4;1;1;1;0;1;1;0;1;0;2;,5889882289692
3727;1,0;8;1975;46;7;4;1;3;3;1;2;1;1;22;2; ;2; ;2;3;2;1;1; ;1;2;1;2;2;1;1;2;2;2;2;2; ;2;2;2;2;1;1;1;2;2;5;2;2;1;1;1;1;2;2;2;2;2;2;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;2;1;2;1;1;1;9;9;2;1;0;2;2;2;2;2;4;4;1;4;2;4;4;2;1;0;0;0;0;0;0;0;1;,5703785059987
3727;1,0;9;1969;51;8;4;1;5;3;2;2;1;1;1;2; ;2; ;1;6;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2; ;1;2;2;2;1;1;1;2;2;4;4;2;2;2;1;1;2;3;3;3;2;3;1;2;1;2;2; ;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;4;2;2;2;0;2;3;3;3;2;4;4;3;2;2;3;3;2;0;0;1;0;0;0;0;0;2;,9327742954051
3727;1,0;10;1994;27;3;2;1;6;3;1;1;2;1;1;2; ;2; ;2;2;1;4;1; ;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2; ;2;3;5;4;4;1;1;1;1;2;3;4;3;4;3;1;2;2;1;2; ;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;4;1;1;10;1;1;1;1;1;5;5;5;5;2;1;4;1;1;0;0;1;1;0;0;0;1;1,5025871272751
3727;1,0;11;1993;28;3;2;1;2;1;1;3;2;1;3;2; ;2; ;2;11;1;5;2;2;1;1;1;2;1;2;1;1;1;2;3;2; ;1;1;1;1;1;1;1;2;3;3;1;1;1;1;1;1;3;3;2;3;1;3;1;2;1;1;1;2;0;0;0;0;0;0;0;0;0;1;1;4;1;1;1;4;2;1;1;0;2;3;2;3;1;3;4;4;4;3;4;1;1;1;0;0;0;0;0;0;0;2;,9596407439150
