fsd_no;fsd_vr;fsd_id;Syvu;ika;ika5;sukup;lisco2010_1;ltytyy_2012;toimi;tysuhpy;taikao;tsuhaika;vuokraty;sivutyo;sivutuni;vastaustapa;palkansa;ika10;toimi2;sose;tb_paino;K2;K3;K21c_4;K21c_5;K21c_10;K21c_12;K26_1;K26_2;K26_3;K20b_2;K20b_2a;K20b_5;K21b_1;K21b_2;K52c;K52a;K52b;K53;K53_1;K22_6;K22_8;K64;K42a;K43g;K43a;K43a_4;K43a_5;K20a_02;K20a_13;K44C;K44E;K44H;K44G;K44I;K11a_1;K11a_2;K11a_3;K11a_4;K21b_4;K21b_6;K65_1;K48;K47;K47a;K33a;K33_1;K33_2;K33b;K33_4;K33_3;K33b_1;K33_9;K33_5;K33_7;K33_6;K33_8;K33_10;K9a_07;K9a_07c;K9a_07b;K9a_11;K9a_09b;K9a_10b;K21c_8;K21c_9;K28a;K28b;K32;K55;K56a;K56b;K56c;K56d;K57a;K57b;K57c;K57d;K69;K22_1;K22_2;K23;K68_1;K68_2;K68_3;K68_4;K68_5;K68_6;K68_7;K68_8;K13_1;K13_2;K40
3784;1,0;1;1961;61;10;1;3;3;2;1;1;3;2;2; ;2;2;5;8;2;,6920717855548;2;2;2;1;1;2;2;2;2;2;2;2;2; ;1;2;1;2;2;1;2;2;2;9;2;1;2;2;1;2;1;1;2;2;3;3;4;3;3;1;2;1;1;2;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;1;1;1;1;4;2;2;2;5;2;3;3;3;1;4;4;4;4;3;4;3;2;1;1;0;1;1;1;0;0;2;1;2
3784;1,0;2;1968;54;8;1;2;3;2;1;1;22;2;2; ;1;3;4;11;1;,9487852541098;5;1;2;1;2;2;1;1;1;1;2;2;1;1;2;2;1;1;1;1;1;1;2;4;1; ;1;1;2;1;2;1;1;2;3;3;2;1;3;1;1;1;1;2;2; ; ;2; ; ; ;2;2;2;3;2;2;1;1;2;1;1;1;4;3;3;2;30;3;3;2;3;2;3;4;3;3;2;3;3;2;1;0;0;1;0;1;0;0;2;1;1
3784;1,0;3;1973;49;7;1;2;3;2;1;1;2;2;2; ;2;3;4;10;1;,8316479099283;3;1;1;1;1;1;3;3;2;2;2;2;1;5;1;2;1;1;1;1;1;1;3;5;2;4;2;1;2;2;3;2;2;1;3;3;3;2;3;1;1;1;2; ;2; ; ;2; ; ; ;2;3;3;2;2;3;1;1;1;1;1;1;4;2;2;2;3;3;3;3;3;1;3;4;4;4;2;3;3;2;1;1;1;1;0;0;1;0;1; ;2
3784;1,0;4;1962;60;10;1;2;3;2;1;1;11;2;2; ;1;3;5;16;1;,6346761921632;6;1;4;3;3;4;4;3;4;2;3;4;2; ;1;2;1;2;2;1;2;1;1;1;1; ;3;1;4;2;2;1;1;2;2;2;3;3;4;1;1;1;2; ;1;2;1;2; ; ; ;2;2;2;2;2;2;2;2;2;1;1;1;4;2;1;1;0;2;3;5;2;1;4;2;3;1;3;2;2;3;1;0;0;0;0;0;0;0;4;1;2
3784;1,0;5;1960;61;10;1;2;3;2;2;2;13;2;1;21;1;3;5;18;1;,6761367404389;8;2;1;1;2;2;3;2;3;3;3;3;2; ;2;2;1;1;2;1;1;1;1;4;4; ;1;2;2;2;1;2;2;2;2;2;3;3;3;1;3;1;2; ;2; ; ;2; ; ; ;2;3;3;2;2;2;4;1;2;1;1;1;4;3;1;1;1;2;3;3;3;2;4;4;2;3;2;3;3;2;1;0;0;0;0;0;0;0;1; ;2
3784;1,0;6;1976;46;7;1;2;3;2;1;1;4;2;2; ;1;3;4;14;1;,8028945200135;4;1;1;1;1;1;2;2;2;1;1;1;2; ;2;2;1;1;2;2; ;1;1;4;1; ;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;1;1;1;1;4;2;2;2;20;3;3;1;2;1;4;4;4;4;1;4;4;1;1;0;1;0;0;0;0;0;1; ;1
3784;1,0;7;1992;30;4;1;2;3;1;1;1;1;2;2; ;1;3;2;6;1;,9376810611250;8;1;3;2;2;3;3;3;3;3;2;3;2; ;2;2;1;1;2;1;1;2;2;5;1; ;1;2;3;3;3;3;2;3;3;2;3;1;3;2;1;1;2; ;2; ; ;2; ; ; ;2;2;2;2;2;2;1;1;2;1;1;1;4;2;2;3;4;3;3;4;3;2;2;2;3;1;3;4;4;1;1;1;0;1;0;0;1;1;1; ;2
3784;1,0;8;1996;26;3;1;2;3;2;2;1;0;1;2; ;1;3;2;10;1;1,0132737708097;5;1;2;2;2;2;3;1;2;1;2;2;2; ;1;2;1;1;1;1;1;1;2;5;2;1;1;2;1;2;2;2;2;3;3;2;3;3;3;2;1;1;2; ;2; ; ;2; ; ; ;2;1;3;2;2;2;2;1;4;1;1;1;4;2;1;2;8;3;2;2;2;1;3;3;4;3;3;4;3;1;1;0;0;0;1;0;0;0;1; ;2
3784;1,0;9;1995;27;3;1;3;2;4;1;1;0;2;2; ;1;2;2;17;2;1,3780937556013;11;2;4;2;2;1;2;1;2;1;2;2;2; ;1;1;1;2;1;1;1;1;2;5;3; ;1;1;2;2;1;2;1;2;3;2;3;3;3;2;1;1;2; ;2; ; ;3; ; ; ;2;2;2;2;2;2;1;1;2;1;1;1;4;3;1;1;5;3;2;2;3;2;4;4;4;4;1;4;3;1;1;0;0;1;0;0;0;0;2;2;2
3784;1,0;10;1988;34;4;1;3;3;1;1;1;1;2;2; ;2;2;2;3;2;,9823694961558;1;2;3;3;2;4;3;2;4;2;3;3;2; ;2;1;1;1;1;2; ;2;1;2;1; ;2;1;4;4;2;4;3;3;3;4;4;1;3;2;1;1;2; ;2; ; ;2; ; ; ;2;2;2;2;2;2;3;3;4;1;1;1;4;1;1;3;8;5;4;3;3;2;1;3;4;3;4;2;2;2;1;1;1;0;0;0;1;0;1; ;2
